County,Local Authority,Id,Population
Devon,East Devon 001,E02004129,38.3
Devon,East Devon 002,E02004130,"1,099.9"
Devon,East Devon 003,E02004131,746.7
Devon,East Devon 004,E02004132,80.5
Devon,East Devon 005,E02004133,190.0
Devon,East Devon 007,E02004135,87.0
Devon,East Devon 008,E02004136,264.1
Devon,East Devon 009,E02004137,54.3
Devon,East Devon 010,E02004138,"1,615.8"
Devon,East Devon 011,E02004139,"1,078.6"
Devon,East Devon 012,E02004140,892.5
Devon,East Devon 013,E02004141,113.0
Devon,East Devon 014,E02004142,159.6
Devon,East Devon 015,E02004143,"2,098.4"
Devon,East Devon 016,E02004144,"2,694.0"
Devon,East Devon 017,E02004145,446.7
Devon,East Devon 018,E02004146,"1,862.7"
Devon,East Devon 019,E02004147,"6,570.6"
Devon,East Devon 020,E02004148,968.4
Devon,Exeter 001,E02004149,"1,546.6"
Devon,Exeter 002,E02004150,"2,375.8"
Devon,Exeter 003,E02004151,"2,730.7"
Devon,Exeter 004,E02004152,"9,338.0"
Devon,Exeter 005,E02004153,"2,237.2"
Devon,Exeter 006,E02004154,"7,657.2"
Devon,Exeter 007,E02004155,"4,706.6"
Devon,Exeter 008,E02004156,"6,062.7"
Devon,Exeter 009,E02004157,"4,381.0"
Devon,Exeter 010,E02004158,"7,645.8"
Devon,Exeter 011,E02004159,"1,781.2"
Devon,Exeter 012,E02004160,"2,501.0"
Devon,Exeter 013,E02004161,"4,603.1"
Devon,Exeter 014,E02004162,"1,375.3"
Devon,Exeter 015,E02004163,"1,714.8"
Devon,Mid Devon 001,E02004164,32.7
Devon,Mid Devon 002,E02004165,159.2
Devon,Mid Devon 003,E02004166,82.0
Devon,Mid Devon 004,E02004167,"1,979.4"
Devon,Mid Devon 005,E02004168,516.0
Devon,Mid Devon 006,E02004169,113.0
Devon,Mid Devon 007,E02004170,"2,306.5"
Devon,Mid Devon 008,E02004171,67.2
Devon,Mid Devon 009,E02004172,39.6
Devon,Mid Devon 010,E02004173,40.6
Devon,Mid Devon 011,E02004174,"1,836.2"
Devon,North Devon 001,E02004175,731.3
Devon,North Devon 002,E02004176,40.0
Devon,North Devon 003,E02004177,390.9
Devon,North Devon 004,E02004178,79.8
Devon,North Devon 005,E02004179,255.0
Devon,North Devon 006,E02004180,35.9
Devon,North Devon 007,E02004181,"1,920.9"
Devon,North Devon 008,E02004182,"2,063.1"
Devon,North Devon 009,E02004183,"2,474.2"
Devon,North Devon 010,E02004184,"3,631.5"
Devon,North Devon 011,E02004185,166.2
Devon,North Devon 012,E02004186,165.3
Devon,North Devon 013,E02004187,42.3
Devon,North Devon 014,E02004188,25.6
Devon,South Hams 001,E02004189,70.9
Devon,South Hams 002,E02004190,40.5
Devon,South Hams 003,E02004191,"1,506.9"
Devon,South Hams 004,E02004192,68.7
Devon,South Hams 005,E02004193,"3,757.2"
Devon,South Hams 006,E02004194,61.0
Devon,South Hams 007,E02004195,672.0
Devon,South Hams 008,E02004196,68.8
Devon,South Hams 009,E02004197,151.6
Devon,South Hams 010,E02004198,430.2
Devon,South Hams 011,E02004199,59.0
Devon,South Hams 012,E02004200,89.7
Devon,Teignbridge 001,E02004201,43.2
Devon,Teignbridge 002,E02004202,118.3
Devon,Teignbridge 003,E02004203,32.5
Devon,Teignbridge 004,E02004204,224.6
Devon,Teignbridge 005,E02004205,756.1
Devon,Teignbridge 006,E02004206,646.1
Devon,Teignbridge 007,E02004207,153.1
Devon,Teignbridge 008,E02004208,"1,776.3"
Devon,Teignbridge 009,E02004209,"2,442.6"
Devon,Teignbridge 010,E02004210,"4,843.4"
Devon,Teignbridge 011,E02004211,186.7
Devon,Teignbridge 012,E02004212,"2,591.5"
Devon,Teignbridge 013,E02004213,258.7
Devon,Teignbridge 014,E02004214,"3,546.7"
Devon,Teignbridge 015,E02004215,"1,476.9"
Devon,Teignbridge 016,E02004216,"2,847.0"
Devon,Teignbridge 017,E02004217,198.5
Devon,Teignbridge 018,E02004218,330.6
Devon,Teignbridge 019,E02004219,143.5
Devon,Torridge 001,E02004220,992.1
Devon,Torridge 002,E02004221,"1,220.4"
Devon,Torridge 003,E02004222,"3,576.2"
Devon,Torridge 004,E02004223,356.4
Devon,Torridge 005,E02004224,40.1
Devon,Torridge 006,E02004225,399.1
Devon,Torridge 007,E02004226,31.4
Devon,Torridge 008,E02004227,40.3
Devon,Torridge 009,E02004228,26.5
Devon,West Devon 001,E02004229,38.1
Devon,West Devon 002,E02004230,202.5
Devon,West Devon 003,E02004231,19.5
Devon,West Devon 004,E02004232,25.7
Devon,West Devon 005,E02004233,952.9
Devon,West Devon 006,E02004234,37.8
Devon,West Devon 007,E02004235,128.5
Devon,East Devon 021,E02007027,104.7
Devon,East Devon 022,E02007028,"4,123.6"
