,Close,Date,High,Identifier,Low,Open,PreviousClose,Turnover (Rs. Cr.),TOTTRDQTY
50,480.38,1990-10-09,480.38,NIFTY 50,,,31.129999999999995,,0
357,1280.9,1992-04-23,1280.9,NIFTY 50,,,150.80000000000018,,0
735,1349.4,1994-02-28,1349.4,NIFTY 50,,,45.0,,0
860,1384.9,1994-09-12,1384.9,NIFTY 50,,,6.2000000000000455,,0
7954,1505.2,1999-10-14,1522.85,NIFTY 50,1496.65,1497.3,50.700000000000045,,0
8625,1696.4,2000-02-23,1818.15,NIFTY 50,1689.2,1745.2,-35.59999999999991,,0
18993,1971.9,2004-01-09,2014.65,NIFTY 50,1957.45,1969.0,26.300000000000182,,0
23475,2103.7,2005-01-04,2120.15,NIFTY 50,2100.55,2116.95,71.49999999999977,,0
24267,2160.8,2005-03-09,2183.45,NIFTY 50,2141.35,2169.1,-6.599999999999909,,0
28331,2644.4,2005-10-05,2669.2,NIFTY 50,2636.6,2663.7,65.30000000000018,,0
32653,3701.0,2006-05-11,3774.15,NIFTY 50,3687.9,3755.8,51.0,,0
38353,4223.4,2007-02-08,4245.3,NIFTY 50,4188.45,4232.0,36.0,,0
41852,4620.7,2007-07-24,4647.95,NIFTY 50,4609.75,4620.05,32.0,,0
45449,6287.8,2008-01-08,6357.1,NIFTY 50,6221.6,6282.45,15.800000000000182,,0
114583,7931.35,2015-12-02,7979.3,NIFTY 50,7910.8,7976.7,67.20000000000073,6242.53,0
126500,8917.95,2016-09-07,8968.7,NIFTY 50,8913.35,8968.7,-34.54999999999927,11430.95,0
142234,10081.5,2017-08-02,10137.85,NIFTY 50,10054.2,10136.3,67.85000000000036,9165.92,0
147004,10451.8,2017-11-06,10490.45,NIFTY 50,10413.75,10431.75,101.64999999999964,10231.76,0
151448,11130.4,2018-01-29,11171.55,NIFTY 50,11075.95,11079.35,80.75,16118.36,0
162464,11738.5,2018-08-28,11760.2,NIFTY 50,11710.5,11731.95,46.600000000000364,13946.7,0
177042,12088.55,2019-06-03,12103.05,NIFTY 50,11920.1,11953.75,66.89999999999964,17451.36,0
189380,12224.55,2020-01-20,12430.5,NIFTY 50,12216.9,12430.5,54.69999999999891,21415.43,0
212037,15313.45,2021-02-16,15431.75,NIFTY 50,15242.2,15371.45,104.55000000000109,36550.03,0
226597,18418.75,2021-10-19,18604.45,NIFTY 50,18377.7,18602.35,152.15000000000146,30505.86,0
253745,18812.5,2022-12-01,18887.6,NIFTY 50,18778.2,18871.95,116.40000000000146,22216.65,0
270505,19979.15,2023-07-20,19991.85,NIFTY 50,19758.4,19831.7,234.15000000000146,30622.66,0
275214,20192.35,2023-09-15,20222.45,NIFTY 50,20129.7,20156.45,59.04999999999927,42681.35,0
