,Key,brokerage,capital_required,net_pnl,no_of_trades,non_tradables_no_entry_count,non_tradables_no_exit_count,pnl,roi,total_expense,transaction_fees,turnover
0,default-default,38160,309280,1470893,1908,242,5,1678865,476,207972,206064,20606418
1,default-aggr,37920,343077,792540,1896,241,5,992430,231,199890,197994,19799353
2,default-cons,40800,230866,1270451,2040,249,5,1490015,550,219564,217524,21752423
3,default-patience,29880,301070,690758,1494,421,0,848600,229,157842,156348,15634839
4,default-low_capital,42480,143589,813879,2124,149,6,951203,567,137324,135200,13520029
5,default-high_capital,31720,327034,1325403,1586,397,19,1562811,405,237408,235822,23582181
6,default-low_to_high_capital,41360,313372,1557663,2068,137,16,1820338,497,262675,260607,26060707
7,allow_overlap-default,42000,221635,1575668,2100,250,5,1804441,711,228773,226673,22667254
8,allow_overlap-aggr,42000,423290,760032,2100,250,5,980566,180,220534,218434,21843379
9,allow_overlap-cons,42000,256100,1301506,2100,250,5,1527509,508,226003,223903,22390321
10,allow_overlap-patience,34680,455937,804385,1734,438,0,987706,176,183321,181587,18158670
11,allow_overlap-low_capital,45880,165736,868206,2294,152,6,1016638,524,148432,146138,14613797
12,allow_overlap-high_capital,35040,388249,1387310,1752,410,19,1648801,357,261491,259739,25973855
13,allow_overlap-low_to_high_capital,45960,317758,1636823,2298,140,16,1928114,515,291291,288993,28899300
