,break_even_date,brokerage,capital_required,net_pnl,no_of_trades,non_tradables_no_entry_count,non_tradables_no_exit_count,pnl,roi,total_expense,transaction_fees,turnover,id
0,2023-03-06,38560,332647,1490702,1928,221,7,1700602,448,209900,207972,20797179,default-default
1,2023-03-06,38160,419460,797754,1908,220,7,998588,190,200834,198926,19892568,default-aggr
2,2023-02-06,41560,232740,1397258,2078,230,7,1621555,600,224297,222219,22221882,default-cons
3,2023-04-05,30200,334863,724416,1510,402,0,883844,216,159428,157918,15791787,default-patience
4,2023-03-06,42680,178456,858149,2134,136,6,996784,481,138635,136501,13650122,default-low_capital
5,2023-03-06,32080,456230,1425981,1604,384,16,1667031,313,241050,239446,23944573,default-high_capital
6,2023-03-06,41920,380282,1662939,2096,113,15,1929619,437,266680,264584,26458377,default-low_to_high_capital
7,2023-08-04,29520,1458638,-1401043,1476,458,0,-1264372,-96,136671,135195,13519484,default-delayed_entry
8,2023-05-09,44720,218939,931710,2236,51,13,1129789,426,198079,195843,19584323,default-very_low_to_high_capital
9,2023-03-06,42680,343267,1596418,2134,231,7,1828437,465,232019,229885,22988459,allow_overlap-default
10,2023-03-20,42680,471708,791897,2134,231,7,1015789,168,223892,221758,22175811,allow_overlap-aggr
11,2023-02-06,42680,247354,1419216,2134,231,7,1649445,574,230229,228095,22809467,allow_overlap-cons
12,2023-04-05,35280,405382,797825,1764,423,0,983671,197,185846,184082,18408232,allow_overlap-patience
13,2023-03-06,46400,182772,936368,2320,139,6,1087368,512,151000,148680,14868024,allow_overlap-low_capital
14,2023-03-08,35640,456230,1486371,1782,398,16,1753167,326,266796,265014,26501444,allow_overlap-high_capital
15,2023-03-06,46920,415832,1733879,2346,117,15,2031500,417,297621,295275,29527487,allow_overlap-low_to_high_capital
16,2023-08-04,32840,1661588,-1551241,1642,484,0,-1399119,-93,152122,150480,15048044,allow_overlap-delayed_entry
17,2023-05-05,49520,190714,998420,2476,53,14,1220227,524,221807,219331,21933072,allow_overlap-very_low_to_high_capital
